,District,Party,Total 2020,Winner 2016,Median Age (years),"Citizen, 18 and over population",White (percent),Black or African American (percent),American Indian and Alaska Native (percent),Asian (percent),Native Hawaiian and Other Pacific Islander (percent),Other (percent),Two or more races (percent),Postsecondary (percent),Secondary or less (percent),Median Household Income (dollars)
203,MI-06,1,384755,1,39.1,542562,84.8,8.5,0.4,1.5,0.0,1.0,3.7,60.01279100425416,39.98720899574583,56520
204,MI-07,1,394301,1,42.2,550964,90.9,4.0,0.5,1.2,0.0,0.4,3.0,58.732590305968856,41.26740969403114,61379
205,MI-08,0,434738,1,39.0,562613,85.1,6.1,0.4,5.1,0.0,0.5,2.8,71.69063208944073,28.309367910559274,74841
206,MI-09,0,410103,0,39.9,556032,76.6,13.9,0.5,5.4,0.0,0.4,3.3,61.268268952097046,38.731731047902954,62943
207,MI-10,1,426468,1,43.7,554418,91.9,3.2,0.2,1.7,0.1,0.9,2.0,59.56911190950683,40.43088809049317,67472
208,MI-11,0,460743,1,42.4,537952,80.6,4.9,0.2,11.2,0.0,0.4,2.8,75.76234988718376,24.237650112816233,88253
209,MI-12,0,392079,0,36.4,525725,77.6,11.3,0.3,5.5,0.0,1.8,3.6,65.398842631007,34.601157368993,62253
210,MI-13,0,291132,0,35.3,485588,38.5,54.1,0.7,1.2,0.0,3.0,2.4,47.64919766694404,52.35080233305597,39005
211,MI-14,0,348045,0,37.0,496156,34.1,55.9,0.4,5.7,0.0,1.4,2.5,62.983967696642516,37.016032303357484,50438
212,MN-01,1,374203,1,38.3,497765,89.1,3.1,0.3,3.0,0.1,1.9,2.5,63.12691776618594,36.87308223381405,66330
213,MN-02,0,432792,1,38.1,517880,82.7,5.7,0.3,5.0,0.0,2.7,3.6,71.555412073975,28.444587926024994,90531
214,MN-03,0,452512,0,39.9,528462,77.3,8.3,0.4,8.8,0.0,1.2,3.9,76.20623316660254,23.793766833397463,98877
215,MN-04,0,404458,0,36.5,516588,70.1,10.8,0.4,12.9,0.0,1.6,4.2,69.78936734023895,30.210632659761057,75665
216,MN-05,0,409330,0,34.5,535070,67.2,16.7,0.8,5.6,0.1,4.7,4.8,73.9346919669559,26.065308033044097,68709
217,MN-06,1,425737,1,37.3,533104,88.9,4.1,0.4,2.6,0.0,1.3,2.6,66.26379642285025,33.736203577149745,84159
218,MN-07,1,368161,1,40.5,501373,90.4,1.6,3.3,1.0,0.2,1.5,2.1,60.190096046879646,39.80990395312035,60932
219,MN-08,1,400013,1,43.5,527314,92.5,1.1,2.3,0.8,0.0,0.5,2.7,61.17146452818049,38.82853547181951,61659
220,MO-01,0,321328,0,36.0,547921,42.5,49.0,0.2,3.5,0.0,1.9,2.9,62.683692958502355,37.316307041497645,50163
221,MO-02,1,452325,1,43.3,576008,88.7,3.7,0.2,4.6,0.2,0.4,2.2,75.27771430875514,24.722285691244856,88684
222,MO-03,1,417914,1,39.8,608065,91.7,4.0,0.4,1.3,0.0,0.5,2.1,60.01204290771474,39.98795709228526,69621
223,MO-04,1,369447,1,37.1,590595,88.7,4.7,0.5,1.9,0.2,0.5,3.5,56.33933427113483,43.66066572886517,53237
224,MO-05,0,357416,0,37.5,579431,68.7,21.2,0.4,1.7,0.4,4.1,3.5,58.334761149860846,41.665238850139154,55239
225,MO-06,1,392499,1,39.3,586958,89.2,4.5,0.4,1.4,0.3,0.8,3.3,56.46963875881666,43.53036124118334,62094
226,MO-07,1,376465,1,38.2,594430,91.1,1.9,0.9,1.4,0.1,1.4,3.2,56.50940067130067,43.49059932869934,47679
227,MO-08,1,337764,1,40.7,566910,92.0,4.8,0.3,0.9,0.1,0.2,1.7,46.256761699424416,53.74323830057559,45656
228,MS-01,1,343231,1,38.3,579478,66.8,29.0,0.1,1.1,0.0,1.8,1.2,54.09828831351783,45.90171168648218,50243
229,MS-02,0,300527,0,37.4,519040,30.6,67.0,0.5,0.5,0.0,0.4,1.0,50.86302034207682,49.13697965792318,37372
230,MS-03,1,350527,1,38.4,560442,60.5,35.4,1.0,1.2,0.0,1.1,0.8,58.55827475880906,41.44172524119094,49863
231,MS-04,1,319474,1,39.0,587363,71.5,23.5,0.4,1.3,0.0,0.6,2.7,57.16701867310336,42.83298132689664,47340
232,MT-AL,1,603640,1,40.5,831760,88.0,0.7,6.3,0.8,0.0,0.7,3.4,64.00978802119076,35.99021197880924,57153
233,NC-01,0,352657,0,38.4,570191,47.1,44.5,0.5,1.8,0.1,3.3,2.6,56.59304207252931,43.40695792747069,47469
234,NC-02,0,502490,0,39.1,636164,71.8,19.2,0.4,2.5,0.1,3.2,2.7,66.89759856770327,33.10240143229674,75366
235,NC-03,1,372685,1,37.9,581048,73.2,19.8,0.4,1.4,0.1,1.5,3.6,58.1650973941766,41.8349026058234,53545
236,NC-04,0,499753,0,35.2,610536,60.0,22.6,0.5,9.4,0.0,4.9,2.6,76.824151128902,23.175848871098,75687
237,NC-05,1,394438,1,40.9,583346,79.3,14.7,0.5,1.5,0.1,1.8,2.1,58.20634474875721,41.79365525124279,49376
238,NC-06,0,417805,0,41.5,581560,70.9,19.9,0.6,1.7,0.0,3.9,3.0,54.87581363758965,45.12418636241035,54132
239,NC-07,1,461296,1,42.3,621515,74.6,17.9,0.9,0.9,0.1,2.8,2.9,60.94242850661684,39.057571493383165,53066
240,NC-08,1,385986,1,35.8,591696,64.6,23.0,1.2,2.9,0.2,3.7,4.5,60.80587321483015,39.19412678516984,54507
241,NC-09,1,410978,1,39.6,574114,64.4,19.6,7.6,2.9,0.1,2.9,2.5,64.11676771032306,35.88323228967694,66208
242,NC-10,1,420394,1,42.1,591040,81.2,12.6,0.5,1.8,0.1,2.0,1.9,57.55676971365043,42.44323028634957,53189
243,NC-11,1,454792,1,45.8,607938,89.5,3.3,1.8,1.1,0.1,2.6,1.8,58.60235827693126,41.39764172306874,51884
244,NC-12,0,439717,0,34.1,599115,44.9,37.5,0.4,5.8,0.0,8.0,3.3,70.38150120358888,29.618498796411117,61658
245,NC-13,1,399010,1,39.4,581381,68.0,22.8,0.5,3.7,0.0,2.0,3.0,61.20502987138347,38.79497012861653,56718
246,ND-AL,1,359890,1,35.5,567545,85.8,2.9,5.4,1.4,0.4,0.8,3.3,66.45016024436411,33.54983975563589,64577
247,NE-01,1,320046,1,36.0,475365,88.1,2.8,1.5,2.7,0.2,1.9,2.8,67.61860717624941,32.381392823750595,63921
248,NE-02,1,337754,1,35.0,472694,80.8,9.9,0.7,3.7,0.0,1.6,3.3,69.72322583964194,30.276774160358055,71277
249,NE-03,1,293912,1,40.2,440891,90.2,1.5,0.7,0.7,0.0,4.7,2.1,59.40453323930151,40.59546676069849,55729
